_name,_amazon_id
Ryzen 3 1200,B0741DN383
Ryzen 3 1300X,B0741DLVL7
Ryzen 5 1400,B06XKWT8J4
Ryzen 5 1600 AF,B07XTQZJ28
Ryzen 5 1600,B06XNRQHG4
Ryzen 7 1700,B06WP5YCX6
Ryzen 7 1700X,B07PHD73V6
Ryzen 7 1800X,B06W9JXK4G
Ryzen Threadripper 1900X,B0754JNQBP
Ryzen Threadripper 1920X,B074CBJHCT
Ryzen Threadripper 1950X,B074CBH3R4
Ryzen 5 2600,B07B41WS48
Ryzen 5 2600X,B07B428V2L
Ryzen 7 2700,B07B41717Z
Ryzen 7 2700X,B07B428M7F
Ryzen Threadripper 2950X,B07GFN6CVF
Ryzen Threadripper 2970WX,B07JBQJ1D9
Ryzen Threadripper 2990WX,B07G25SD1P
Ryzen 3 3200G,B08BSKGNTW
Ryzen 5 3400G,B07SXNDKNM
Ryzen 5 3600,B07STGGQ18
Ryzen 5 3600X,B07SQBFN2D
Ryzen 7 3700X,B07SXMZLPK
Ryzen 7 3800X,B07SXMZLPJ
Ryzen 9 3900X,B07SXMZLP9
Ryzen 5 3600XT,B089WC4VWF
Ryzen 7 3800XT,B089WCXZJC
Ryzen 9 3900XT,B089WD454D
Ryzen 9 3950X,B07ZTYKLZW
Intel Core i7-8086K,B07DGDWJ3P
Intel Core i5-8600K,B0759FKH8K
Intel Core i5-8500,B07938SNBB
Intel Core i5-8400,B0759FGJ3Q
Intel Core i3-8100,B0759FTRZL
ntel Core i3-9350KF,B07NC419VF
Intel Core i3-9100F,B07R7Q3JZH
Intel Core i3-9100,B07RXW4Y2K
Intel Core i5-9400F,B07MRCGQQ4
ntel Core i5-9600K,B07HHLX1R8
Intel Core i5-9400,B07MGZ9FJZ
Intel Core i7-9700KF,B07MJXYX62
Intel Core i7-9700F,B07S8DWXT3
Intel Core i7-9700K,B07HHN6KBZ
Intel Core i7-9700,B07S6CRLVD
Intel Core i9 i9-9900K,B07KC6V4YF
Intel Core i9-9900KF,B07MGBZWDZ
Intel Core i9-9900,B07RXX3Y2T
Intel Core i7-10700K,B086ML4XSB
Intel Core i9-10850K,B08DHRG2X9
Intel Core i9-10900KF,B086MG1C7D
Intel Core i7-10700,B086MG1C7C
Intel Core i5-10600K,B086MHSH2C
